score,flags,address,borough,zip,units,year_built,bldg_class,owner,per_door,market_value,value_basis,assessed_value_est,last_sale_price,last_sale_date,under_70k_door,low_rate_mtge_date,low_rate_mtge_amt,est_maturity_10yr,months_to_maturity,maturing_soon,lender,bbl,acris_mortgage_url,acris_parcel_url,pluto_url,lat,lon
22.5,maturing soon (est.),1656 EAST 19 STREET,Brooklyn,11229,42,1931,D1,1656 REALTY,58333,2450000,assessed/0.45,2450000,,,True,2019-11-14,596887.52,2029-11-14,40,True,NEW YORK COMMUNITY BANK,3067810027,https://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2019112200098002,https://a836-acris.nyc.gov/bblsearch/bblsearch.asp?borough=3&block=6781&lot=27,https://zola.planning.nyc.gov/l/lot/3/6781/27,40.6094838,-73.9548508
22.5,maturing soon (est.); financed/sold since (may be refinanced),2513 NEWKIRK AVENUE,Brooklyn,11226,42,1931,D1,2513 NEWKIRK LLC,47087,1977652,recorded sale 2026-03-31,1988000,1977652,2026-03-31,True,2019-06-19,891650.39,2029-06-19,35,True,NEW YORK COMMUNITY BANK,3052120019,https://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2019062801145001,https://a836-acris.nyc.gov/bblsearch/bblsearch.asp?borough=3&block=5212&lot=19,https://zola.planning.nyc.gov/l/lot/3/5212/19,40.6399583,-73.9525818
22.4,no low-rate-era mortgage found,37 WEST 138 STREET,Manhattan,10037,24,1938,C1,NYC HOUSING PRESERVATION AND DEVELOPMENT,35125,843000,assessed/0.45,843000,,,True,,,,,False,,1017360023,,https://a836-acris.nyc.gov/bblsearch/bblsearch.asp?borough=1&block=1736&lot=23,https://zola.planning.nyc.gov/l/lot/1/1736/23,40.8153931,-73.9373629
22.4,maturing soon (est.),2335 CROTONA AVENUE,Bronx,10458,32,1926,C1,2335 CROTONA LLC,58531,1873000,assessed/0.45,1873000,,,True,2020-12-04,767111.57,2030-12-04,53,True,INVESTORS BANK,2031030043,https://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2021011300348003,https://a836-acris.nyc.gov/bblsearch/bblsearch.asp?borough=2&block=3103&lot=43,https://zola.planning.nyc.gov/l/lot/2/3103/43,40.8531083,-73.8843278
22.4,no low-rate-era mortgage found,1111 WESTCHESTER AVENUE,Bronx,10459,21,1910,C1,"BK BRYANT AVENUE HDFC, INC.",35190,739000,assessed/0.45,739000,,,True,,,,,False,,2027510041,,https://a836-acris.nyc.gov/bblsearch/bblsearch.asp?borough=2&block=2751&lot=41,https://zola.planning.nyc.gov/l/lot/2/2751/41,40.8257494,-73.8903192
22.4,no low-rate-era mortgage found,1316 MORRIS AVENUE,Bronx,10456,20,1916,C1,FLEETWOOD ASSOCIATESL.P,35200,704000,assessed/0.45,704000,,,True,,,,,False,,2027850011,,https://a836-acris.nyc.gov/bblsearch/bblsearch.asp?borough=2&block=2785&lot=11,https://zola.planning.nyc.gov/l/lot/2/2785/11,40.8359730,-73.9121733
22.4,maturing soon (est.),2324 BASSFORD AVENUE,Bronx,10458,32,1910,C1,505 BRONX EQUITIES LLC,58438,1870000,assessed/0.45,1870000,,,True,2020-03-03,651346.2,2030-03-03,44,True,SOCIETE GENERALE FINANCIAL CORPORATION,2030530025,https://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020031200259013,https://a836-acris.nyc.gov/bblsearch/bblsearch.asp?borough=2&block=3053&lot=25,https://zola.planning.nyc.gov/l/lot/2/3053/25,40.8555637,-73.8916654
22.4,no low-rate-era mortgage found,2226 HOLLAND AVENUE,Bronx,10467,25,1947,D1,2226 LLC,35200,880000,assessed/0.45,880000,,,True,,,,,False,,2043450021,,https://a836-acris.nyc.gov/bblsearch/bblsearch.asp?borough=2&block=4345&lot=21,https://zola.planning.nyc.gov/l/lot/2/4345/21,40.8588049,-73.8653316
22.4,bulk-sale price ignored; no low-rate-era mortgage found,7920 19 AVENUE,Brooklyn,11214,48,1931,D1,HIOS 19TH 1C LLC,35208,1690000,"assessed/0.45 (sale $6,000,000 looks like bulk)",1690000,6000000,2024-08-23,True,,,,,False,,3062730039,,https://a836-acris.nyc.gov/bblsearch/bblsearch.asp?borough=3&block=6273&lot=39,https://zola.planning.nyc.gov/l/lot/3/6273/39,40.6096573,-73.9969927
22.4,no low-rate-era mortgage found,1902 81 STREET,Brooklyn,11214,31,1924,C1,1902 81ST STREET REALTY LLC,35161,1090000,assessed/0.45,1090000,,,True,,,,,False,,3062970006,,https://a836-acris.nyc.gov/bblsearch/bblsearch.asp?borough=3&block=6297&lot=6,https://zola.planning.nyc.gov/l/lot/3/6297/6,40.6084496,-73.9974285
